Epoch = 1, Test Loss 0.31, pit 6.62, yaw 5.68, roll 8.68, avg 6.99
Epoch = 2, Test Loss 0.26, pit 6.39, yaw 5.65, roll 5.56, avg 5.87
Epoch = 3, Test Loss 0.17, pit 6.17, yaw 2.54, roll 5.21, avg 4.64
Epoch = 4, Test Loss 0.17, pit 6.45, yaw 2.31, roll 5.03, avg 4.60
Epoch = 5, Test Loss 0.23, pit 6.70, yaw 3.57, roll 6.19, avg 5.49
Epoch = 6, Test Loss 0.31, pit 8.75, yaw 3.87, roll 11.21, avg 7.95
Epoch = 7, Test Loss 0.21, pit 5.61, yaw 4.01, roll 6.15, avg 5.25
Epoch = 8, Test Loss 0.24, pit 6.81, yaw 3.74, roll 7.87, avg 6.14
Epoch = 9, Test Loss 0.16, pit 5.18, yaw 2.00, roll 6.09, avg 4.42
Epoch = 10, Test Loss 0.12, pit 4.53, yaw 1.98, roll 4.87, avg 3.79
Epoch = 11, Test Loss 0.12, pit 4.71, yaw 2.09, roll 5.06, avg 3.95
Epoch = 12, Test Loss 0.18, pit 6.27, yaw 1.81, roll 6.18, avg 4.75
Epoch = 13, Test Loss 0.13, pit 4.48, yaw 2.18, roll 4.20, avg 3.62
Epoch = 14, Test Loss 0.14, pit 4.10, yaw 2.53, roll 5.22, avg 3.95
Epoch = 15, Test Loss 0.12, pit 4.08, yaw 2.08, roll 4.49, avg 3.55
Epoch = 16, Test Loss 0.12, pit 4.18, yaw 2.40, roll 4.25, avg 3.61
Epoch = 17, Test Loss 0.22, pit 5.86, yaw 3.00, roll 7.71, avg 5.52
Epoch = 18, Test Loss 0.10, pit 4.03, yaw 1.65, roll 4.18, avg 3.29
Epoch = 19, Test Loss 0.12, pit 4.72, yaw 1.81, roll 3.95, avg 3.50
Epoch = 20, Test Loss 0.10, pit 3.80, yaw 1.79, roll 4.20, avg 3.26
Epoch = 21, Test Loss 0.17, pit 5.53, yaw 2.14, roll 5.28, avg 4.32
Epoch = 22, Test Loss 0.10, pit 4.05, yaw 1.58, roll 4.15, avg 3.26
Epoch = 23, Test Loss 0.10, pit 3.69, yaw 1.90, roll 3.61, avg 3.06
Epoch = 24, Test Loss 0.09, pit 3.60, yaw 1.62, roll 3.69, avg 2.97
Epoch = 25, Test Loss 0.11, pit 4.34, yaw 1.63, roll 4.06, avg 3.34
Epoch = 26, Test Loss 0.09, pit 4.12, yaw 1.63, roll 4.00, avg 3.25
Epoch = 27, Test Loss 0.08, pit 3.54, yaw 1.52, roll 4.04, avg 3.03
Epoch = 28, Test Loss 0.09, pit 3.80, yaw 1.53, roll 3.92, avg 3.08
Epoch = 29, Test Loss 0.09, pit 3.62, yaw 1.51, roll 4.18, avg 3.10
Epoch = 30, Test Loss 0.12, pit 3.61, yaw 2.59, roll 3.59, avg 3.26
Epoch = 31, Test Loss 0.09, pit 3.75, yaw 1.64, roll 3.90, avg 3.09
Epoch = 32, Test Loss 0.11, pit 3.65, yaw 2.29, roll 3.86, avg 3.27
Epoch = 33, Test Loss 0.09, pit 3.61, yaw 1.40, roll 3.95, avg 2.98
Epoch = 34, Test Loss 0.09, pit 3.91, yaw 1.35, roll 4.22, avg 3.16
Epoch = 35, Test Loss 0.08, pit 3.37, yaw 1.75, roll 3.72, avg 2.95
Epoch = 36, Test Loss 0.17, pit 5.11, yaw 3.03, roll 5.00, avg 4.38
Epoch = 37, Test Loss 0.11, pit 4.22, yaw 2.13, roll 4.54, avg 3.63
Epoch = 38, Test Loss 0.08, pit 3.44, yaw 1.47, roll 3.77, avg 2.89
Epoch = 39, Test Loss 0.08, pit 3.44, yaw 1.34, roll 3.84, avg 2.87
Epoch = 40, Test Loss 0.08, pit 3.57, yaw 1.36, roll 4.06, avg 2.99
Epoch = 41, Test Loss 0.07, pit 3.33, yaw 1.36, roll 3.59, avg 2.76
Epoch = 42, Test Loss 0.07, pit 3.22, yaw 1.35, roll 3.66, avg 2.74
Epoch = 43, Test Loss 0.07, pit 3.28, yaw 1.39, roll 3.48, avg 2.72
Epoch = 44, Test Loss 0.07, pit 3.17, yaw 1.34, roll 3.49, avg 2.67
Epoch = 45, Test Loss 0.07, pit 3.22, yaw 1.36, roll 3.75, avg 2.77
Epoch = 46, Test Loss 0.07, pit 3.23, yaw 1.35, roll 3.64, avg 2.74
Epoch = 47, Test Loss 0.07, pit 3.21, yaw 1.35, roll 3.67, avg 2.74
Epoch = 48, Test Loss 0.07, pit 3.26, yaw 1.36, roll 3.64, avg 2.75
Epoch = 49, Test Loss 0.07, pit 3.19, yaw 1.29, roll 3.54, avg 2.67
Epoch = 50, Test Loss 0.07, pit 3.12, yaw 1.30, roll 3.47, avg 2.63
Epoch = 51, Test Loss 0.07, pit 3.15, yaw 1.31, roll 3.53, avg 2.67
Epoch = 52, Test Loss 0.07, pit 3.11, yaw 1.26, roll 3.46, avg 2.61
Epoch = 53, Test Loss 0.07, pit 3.16, yaw 1.29, roll 3.47, avg 2.64
Epoch = 54, Test Loss 0.07, pit 3.10, yaw 1.35, roll 3.56, avg 2.67
Epoch = 55, Test Loss 0.07, pit 3.08, yaw 1.28, roll 3.43, avg 2.60
Epoch = 56, Test Loss 0.07, pit 3.08, yaw 1.25, roll 3.42, avg 2.58
Epoch = 57, Test Loss 0.08, pit 3.25, yaw 1.54, roll 3.35, avg 2.71
Epoch = 58, Test Loss 0.07, pit 3.14, yaw 1.29, roll 3.31, avg 2.58
