Epoch = 1, Train Loss 0.20, pit 5.52, yaw 3.77, roll 5.14, avg 4.81
Epoch = 2, Train Loss 0.12, pit 4.10, yaw 2.31, roll 3.95, avg 3.45
Epoch = 3, Train Loss 0.11, pit 3.76, yaw 1.91, roll 3.59, avg 3.09
Epoch = 4, Train Loss 0.09, pit 3.36, yaw 1.62, roll 3.21, avg 2.73
Epoch = 5, Train Loss 0.09, pit 3.35, yaw 1.51, roll 3.18, avg 2.68
Epoch = 6, Train Loss 0.12, pit 4.01, yaw 2.15, roll 3.77, avg 3.31
Epoch = 7, Train Loss 0.12, pit 4.02, yaw 2.24, roll 3.88, avg 3.38
Epoch = 8, Train Loss 0.11, pit 3.64, yaw 1.92, roll 3.55, avg 3.03
Epoch = 9, Train Loss 0.10, pit 3.40, yaw 1.66, roll 3.22, avg 2.76
Epoch = 10, Train Loss 0.09, pit 3.27, yaw 1.45, roll 3.06, avg 2.59
Epoch = 11, Train Loss 0.08, pit 3.05, yaw 1.26, roll 2.88, avg 2.40
Epoch = 12, Train Loss 0.08, pit 3.04, yaw 1.24, roll 2.88, avg 2.39
Epoch = 13, Train Loss 0.08, pit 3.05, yaw 1.23, roll 2.84, avg 2.37
Epoch = 14, Train Loss 0.08, pit 3.11, yaw 1.32, roll 2.91, avg 2.45
Epoch = 15, Train Loss 0.07, pit 2.80, yaw 1.06, roll 2.65, avg 2.17
Epoch = 16, Train Loss 0.06, pit 2.67, yaw 0.95, roll 2.51, avg 2.04
Epoch = 17, Train Loss 0.06, pit 2.60, yaw 0.96, roll 2.47, avg 2.01
Epoch = 18, Train Loss 0.07, pit 2.64, yaw 1.00, roll 2.53, avg 2.06
Epoch = 19, Train Loss 0.08, pit 2.98, yaw 1.22, roll 2.81, avg 2.33
Epoch = 20, Train Loss 0.06, pit 2.59, yaw 0.93, roll 2.49, avg 2.01
Epoch = 21, Train Loss 0.09, pit 3.34, yaw 1.60, roll 3.17, avg 2.70
Epoch = 22, Train Loss 0.07, pit 3.00, yaw 1.19, roll 2.86, avg 2.35
Epoch = 23, Train Loss 0.06, pit 2.60, yaw 0.92, roll 2.49, avg 2.00
Epoch = 24, Train Loss 0.06, pit 2.46, yaw 0.81, roll 2.38, avg 1.89
Epoch = 25, Train Loss 0.08, pit 3.03, yaw 1.22, roll 2.86, avg 2.37
Epoch = 26, Train Loss 0.06, pit 2.49, yaw 0.87, roll 2.38, avg 1.91
Epoch = 27, Train Loss 0.06, pit 2.43, yaw 0.84, roll 2.32, avg 1.86
Epoch = 28, Train Loss 0.05, pit 2.35, yaw 0.79, roll 2.23, avg 1.79
Epoch = 29, Train Loss 0.05, pit 2.28, yaw 0.76, roll 2.18, avg 1.74
Epoch = 30, Train Loss 0.05, pit 2.16, yaw 0.72, roll 2.06, avg 1.65
Epoch = 31, Train Loss 0.05, pit 2.12, yaw 0.71, roll 2.02, avg 1.62
Epoch = 32, Train Loss 0.05, pit 2.11, yaw 0.72, roll 2.02, avg 1.61
Epoch = 33, Train Loss 0.05, pit 2.01, yaw 0.67, roll 1.91, avg 1.53
Epoch = 34, Train Loss 0.05, pit 2.13, yaw 0.73, roll 2.01, avg 1.62
Epoch = 35, Train Loss 0.04, pit 2.03, yaw 0.66, roll 1.94, avg 1.54
Epoch = 36, Train Loss 0.11, pit 3.63, yaw 1.98, roll 3.46, avg 3.02
Epoch = 37, Train Loss 0.08, pit 3.23, yaw 1.45, roll 3.03, avg 2.57
Epoch = 38, Train Loss 0.06, pit 2.56, yaw 0.89, roll 2.42, avg 1.96
Epoch = 39, Train Loss 0.05, pit 2.31, yaw 0.71, roll 2.19, avg 1.74
Epoch = 40, Train Loss 0.05, pit 2.24, yaw 0.66, roll 2.13, avg 1.68
Epoch = 41, Train Loss 0.04, pit 1.86, yaw 0.50, roll 1.75, avg 1.37
Epoch = 42, Train Loss 0.04, pit 1.82, yaw 0.50, roll 1.73, avg 1.35
Epoch = 43, Train Loss 0.04, pit 1.83, yaw 0.52, roll 1.74, avg 1.36
Epoch = 44, Train Loss 0.04, pit 1.85, yaw 0.50, roll 1.74, avg 1.36
Epoch = 45, Train Loss 0.03, pit 1.82, yaw 0.49, roll 1.70, avg 1.34
Epoch = 46, Train Loss 0.03, pit 1.80, yaw 0.47, roll 1.70, avg 1.32
Epoch = 47, Train Loss 0.03, pit 1.76, yaw 0.49, roll 1.67, avg 1.31
Epoch = 48, Train Loss 0.03, pit 1.72, yaw 0.48, roll 1.61, avg 1.27
Epoch = 49, Train Loss 0.03, pit 1.72, yaw 0.47, roll 1.61, avg 1.27
Epoch = 50, Train Loss 0.03, pit 1.72, yaw 0.46, roll 1.62, avg 1.27
Epoch = 51, Train Loss 0.03, pit 1.71, yaw 0.48, roll 1.59, avg 1.26
Epoch = 52, Train Loss 0.03, pit 1.68, yaw 0.45, roll 1.56, avg 1.23
