Epoch = 1, Test Loss 0.47, pit 4.55, yaw 10.52, roll 5.13, avg 6.73
Epoch = 2, Test Loss 0.37, pit 6.78, yaw 5.87, roll 4.59, avg 5.75
Epoch = 3, Test Loss 0.25, pit 3.17, yaw 4.82, roll 2.79, avg 3.59
Epoch = 4, Test Loss 0.29, pit 4.20, yaw 5.46, roll 3.07, avg 4.24
Epoch = 5, Test Loss 0.21, pit 3.74, yaw 3.62, roll 3.26, avg 3.54
Epoch = 6, Test Loss 0.22, pit 3.24, yaw 3.90, roll 2.94, avg 3.36
Epoch = 7, Test Loss 0.25, pit 5.07, yaw 3.89, roll 3.92, avg 4.29
Epoch = 8, Test Loss 0.25, pit 3.97, yaw 4.20, roll 2.98, avg 3.72
Epoch = 9, Test Loss 0.26, pit 6.15, yaw 2.95, roll 2.69, avg 3.93
Epoch = 10, Test Loss 0.19, pit 3.63, yaw 2.64, roll 2.83, avg 3.03
Epoch = 11, Test Loss 0.25, pit 3.00, yaw 5.21, roll 3.49, avg 3.90
Epoch = 12, Test Loss 0.22, pit 3.65, yaw 3.82, roll 2.66, avg 3.38
Epoch = 13, Test Loss 0.19, pit 4.01, yaw 2.63, roll 3.03, avg 3.22
Epoch = 14, Test Loss 0.29, pit 3.77, yaw 5.49, roll 3.45, avg 4.23
Epoch = 15, Test Loss 0.20, pit 4.14, yaw 2.69, roll 2.34, avg 3.06
Epoch = 16, Test Loss 0.20, pit 3.44, yaw 3.67, roll 2.77, avg 3.29
Epoch = 17, Test Loss 0.19, pit 3.02, yaw 3.19, roll 2.44, avg 2.88
Epoch = 18, Test Loss 0.19, pit 2.53, yaw 3.62, roll 2.47, avg 2.87
Epoch = 19, Test Loss 0.17, pit 2.32, yaw 2.71, roll 2.60, avg 2.55
Epoch = 20, Test Loss 0.14, pit 2.41, yaw 2.31, roll 2.24, avg 2.32
Epoch = 21, Test Loss 0.14, pit 2.43, yaw 2.18, roll 2.10, avg 2.24
Epoch = 22, Test Loss 0.18, pit 2.72, yaw 3.08, roll 2.48, avg 2.76
Epoch = 23, Test Loss 0.22, pit 2.53, yaw 4.46, roll 2.88, avg 3.29
Epoch = 24, Test Loss 0.16, pit 2.71, yaw 2.14, roll 2.87, avg 2.57
Epoch = 25, Test Loss 0.16, pit 2.38, yaw 2.63, roll 2.35, avg 2.45
Epoch = 26, Test Loss 0.19, pit 3.34, yaw 2.62, roll 2.96, avg 2.97
Epoch = 27, Test Loss 0.16, pit 2.55, yaw 2.74, roll 2.37, avg 2.55
Epoch = 28, Test Loss 0.15, pit 2.64, yaw 2.21, roll 2.71, avg 2.52
Epoch = 29, Test Loss 0.18, pit 2.63, yaw 2.24, roll 3.88, avg 2.92
