Epoch = 1, Train Loss 0.51, pit 8.38, yaw 7.36, roll 7.74, avg 7.83
Epoch = 2, Train Loss 0.24, pit 4.13, yaw 3.85, roll 3.24, avg 3.74
Epoch = 3, Train Loss 0.21, pit 3.76, yaw 3.39, roll 2.76, avg 3.30
Epoch = 4, Train Loss 0.19, pit 3.16, yaw 3.18, roll 2.53, avg 2.96
Epoch = 5, Train Loss 0.17, pit 2.88, yaw 2.78, roll 2.22, avg 2.63
Epoch = 6, Train Loss 0.16, pit 3.04, yaw 2.58, roll 2.32, avg 2.65
Epoch = 7, Train Loss 0.15, pit 2.58, yaw 2.44, roll 2.17, avg 2.39
Epoch = 8, Train Loss 0.15, pit 2.42, yaw 2.57, roll 2.06, avg 2.35
Epoch = 9, Train Loss 0.14, pit 2.48, yaw 2.19, roll 2.02, avg 2.23
Epoch = 10, Train Loss 0.13, pit 2.40, yaw 2.04, roll 1.87, avg 2.10
Epoch = 11, Train Loss 0.13, pit 2.27, yaw 2.26, roll 1.89, avg 2.14
Epoch = 12, Train Loss 0.12, pit 2.18, yaw 2.04, roll 1.78, avg 2.00
Epoch = 13, Train Loss 0.11, pit 1.96, yaw 1.79, roll 1.62, avg 1.79
Epoch = 14, Train Loss 0.12, pit 2.07, yaw 1.91, roll 1.63, avg 1.87
Epoch = 15, Train Loss 0.11, pit 1.90, yaw 1.75, roll 1.62, avg 1.76
Epoch = 16, Train Loss 0.11, pit 2.01, yaw 1.70, roll 1.71, avg 1.81
Epoch = 17, Train Loss 0.11, pit 1.91, yaw 1.66, roll 1.55, avg 1.71
Epoch = 18, Train Loss 0.10, pit 1.71, yaw 1.63, roll 1.56, avg 1.63
Epoch = 19, Train Loss 0.10, pit 1.70, yaw 1.52, roll 1.45, avg 1.55
Epoch = 20, Train Loss 0.09, pit 1.63, yaw 1.36, roll 1.47, avg 1.49
Epoch = 21, Train Loss 0.09, pit 1.55, yaw 1.42, roll 1.52, avg 1.50
Epoch = 22, Train Loss 0.10, pit 1.65, yaw 1.58, roll 1.53, avg 1.59
Epoch = 23, Train Loss 0.09, pit 1.56, yaw 1.47, roll 1.57, avg 1.53
Epoch = 24, Train Loss 0.10, pit 1.74, yaw 1.47, roll 1.47, avg 1.56
Epoch = 25, Train Loss 0.08, pit 1.43, yaw 1.27, roll 1.36, avg 1.36
Epoch = 26, Train Loss 0.09, pit 1.66, yaw 1.45, roll 1.37, avg 1.49
Epoch = 27, Train Loss 0.09, pit 1.76, yaw 1.35, roll 1.40, avg 1.50
Epoch = 28, Train Loss 0.09, pit 1.68, yaw 1.33, roll 1.39, avg 1.47
Epoch = 29, Train Loss 0.09, pit 1.66, yaw 1.40, roll 1.44, avg 1.50
Epoch = 30, Train Loss 0.09, pit 1.52, yaw 1.32, roll 1.34, avg 1.39
Epoch = 31, Train Loss 0.08, pit 1.42, yaw 1.15, roll 1.27, avg 1.28
Epoch = 32, Train Loss 0.08, pit 1.41, yaw 1.30, roll 1.24, avg 1.32
Epoch = 33, Train Loss 0.09, pit 1.59, yaw 1.27, roll 1.37, avg 1.41
Epoch = 34, Train Loss 0.08, pit 1.30, yaw 1.13, roll 1.18, avg 1.20
Epoch = 35, Train Loss 0.08, pit 1.43, yaw 1.20, roll 1.28, avg 1.30
Epoch = 36, Train Loss 0.08, pit 1.39, yaw 1.18, roll 1.31, avg 1.29
Epoch = 37, Train Loss 0.07, pit 1.28, yaw 1.07, roll 1.25, avg 1.20
Epoch = 38, Train Loss 0.07, pit 1.29, yaw 1.07, roll 1.29, avg 1.22
Epoch = 39, Train Loss 0.08, pit 1.48, yaw 1.18, roll 1.37, avg 1.35
Epoch = 40, Train Loss 0.09, pit 1.54, yaw 1.27, roll 1.39, avg 1.40
Epoch = 41, Train Loss 0.07, pit 1.13, yaw 1.00, roll 1.15, avg 1.09
Epoch = 42, Train Loss 0.06, pit 0.99, yaw 0.90, roll 1.03, avg 0.97
Epoch = 43, Train Loss 0.06, pit 1.05, yaw 0.80, roll 0.99, avg 0.94
Epoch = 44, Train Loss 0.06, pit 0.97, yaw 0.80, roll 0.95, avg 0.91
Epoch = 45, Train Loss 0.05, pit 0.93, yaw 0.74, roll 0.93, avg 0.87
Epoch = 46, Train Loss 0.05, pit 0.91, yaw 0.69, roll 0.91, avg 0.84
Epoch = 47, Train Loss 0.05, pit 0.92, yaw 0.70, roll 0.90, avg 0.84
Epoch = 48, Train Loss 0.05, pit 0.87, yaw 0.70, roll 0.89, avg 0.82
Epoch = 49, Train Loss 0.05, pit 0.86, yaw 0.67, roll 0.90, avg 0.81
Epoch = 50, Train Loss 0.05, pit 0.82, yaw 0.64, roll 0.87, avg 0.78
Epoch = 51, Train Loss 0.05, pit 0.85, yaw 0.63, roll 0.83, avg 0.77
Epoch = 52, Train Loss 0.05, pit 0.83, yaw 0.62, roll 0.83, avg 0.76
Epoch = 53, Train Loss 0.05, pit 0.80, yaw 0.62, roll 0.80, avg 0.74
Epoch = 54, Train Loss 0.05, pit 0.80, yaw 0.64, roll 0.84, avg 0.76
Epoch = 55, Train Loss 0.05, pit 0.78, yaw 0.60, roll 0.83, avg 0.74
Epoch = 56, Train Loss 0.04, pit 0.76, yaw 0.60, roll 0.80, avg 0.72
Epoch = 57, Train Loss 0.04, pit 0.76, yaw 0.58, roll 0.81, avg 0.72
Epoch = 58, Train Loss 0.04, pit 0.81, yaw 0.57, roll 0.83, avg 0.74
Epoch = 59, Train Loss 0.04, pit 0.75, yaw 0.55, roll 0.78, avg 0.69
Epoch = 60, Train Loss 0.04, pit 0.78, yaw 0.62, roll 0.78, avg 0.73
Epoch = 61, Train Loss 0.04, pit 0.79, yaw 0.58, roll 0.81, avg 0.73
Epoch = 62, Train Loss 0.04, pit 0.75, yaw 0.57, roll 0.77, avg 0.70
Epoch = 63, Train Loss 0.04, pit 0.75, yaw 0.57, roll 0.78, avg 0.70
Epoch = 64, Train Loss 0.04, pit 0.72, yaw 0.54, roll 0.70, avg 0.65
Epoch = 65, Train Loss 0.04, pit 0.66, yaw 0.55, roll 0.74, avg 0.65
Epoch = 66, Train Loss 0.04, pit 0.69, yaw 0.53, roll 0.74, avg 0.66
Epoch = 67, Train Loss 0.04, pit 0.68, yaw 0.52, roll 0.74, avg 0.64
Epoch = 68, Train Loss 0.04, pit 0.64, yaw 0.50, roll 0.68, avg 0.61
Epoch = 69, Train Loss 0.04, pit 0.70, yaw 0.50, roll 0.75, avg 0.65
Epoch = 70, Train Loss 0.04, pit 0.68, yaw 0.51, roll 0.68, avg 0.62
Epoch = 71, Train Loss 0.04, pit 0.66, yaw 0.49, roll 0.68, avg 0.61
Epoch = 72, Train Loss 0.04, pit 0.66, yaw 0.50, roll 0.67, avg 0.61
Epoch = 73, Train Loss 0.04, pit 0.65, yaw 0.50, roll 0.67, avg 0.61
Epoch = 74, Train Loss 0.04, pit 0.61, yaw 0.47, roll 0.67, avg 0.58
Epoch = 75, Train Loss 0.04, pit 0.64, yaw 0.51, roll 0.68, avg 0.61
Epoch = 76, Train Loss 0.04, pit 0.62, yaw 0.49, roll 0.65, avg 0.59
Epoch = 77, Train Loss 0.04, pit 0.63, yaw 0.45, roll 0.64, avg 0.57
Epoch = 78, Train Loss 0.04, pit 0.65, yaw 0.46, roll 0.65, avg 0.59
Epoch = 79, Train Loss 0.04, pit 0.68, yaw 0.49, roll 0.64, avg 0.60
Epoch = 80, Train Loss 0.04, pit 0.62, yaw 0.44, roll 0.68, avg 0.58
Epoch = 81, Train Loss 0.03, pit 0.55, yaw 0.40, roll 0.57, avg 0.51
Epoch = 82, Train Loss 0.03, pit 0.53, yaw 0.38, roll 0.56, avg 0.49
Epoch = 83, Train Loss 0.03, pit 0.52, yaw 0.39, roll 0.56, avg 0.49
Epoch = 84, Train Loss 0.03, pit 0.52, yaw 0.38, roll 0.57, avg 0.49
Epoch = 85, Train Loss 0.03, pit 0.53, yaw 0.39, roll 0.58, avg 0.50
Epoch = 86, Train Loss 0.03, pit 0.53, yaw 0.38, roll 0.55, avg 0.48
Epoch = 87, Train Loss 0.03, pit 0.52, yaw 0.38, roll 0.61, avg 0.50
Epoch = 88, Train Loss 0.03, pit 0.53, yaw 0.39, roll 0.58, avg 0.50
Epoch = 89, Train Loss 0.03, pit 0.53, yaw 0.38, roll 0.55, avg 0.49
Epoch = 90, Train Loss 0.03, pit 0.51, yaw 0.37, roll 0.56, avg 0.48
Epoch = 91, Train Loss 0.03, pit 0.51, yaw 0.37, roll 0.58, avg 0.49
Epoch = 92, Train Loss 0.03, pit 0.52, yaw 0.38, roll 0.58, avg 0.50
Epoch = 93, Train Loss 0.03, pit 0.53, yaw 0.37, roll 0.56, avg 0.49
Epoch = 94, Train Loss 0.03, pit 0.52, yaw 0.36, roll 0.54, avg 0.47
Epoch = 95, Train Loss 0.03, pit 0.53, yaw 0.38, roll 0.55, avg 0.49
Epoch = 96, Train Loss 0.03, pit 0.52, yaw 0.37, roll 0.56, avg 0.48
Epoch = 97, Train Loss 0.03, pit 0.52, yaw 0.37, roll 0.54, avg 0.48
Epoch = 98, Train Loss 0.03, pit 0.50, yaw 0.37, roll 0.53, avg 0.47
Epoch = 99, Train Loss 0.03, pit 0.51, yaw 0.36, roll 0.54, avg 0.47
Epoch = 100, Train Loss 0.03, pit 0.50, yaw 0.37, roll 0.55, avg 0.48
Epoch = 101, Train Loss 0.03, pit 0.53, yaw 0.36, roll 0.56, avg 0.49
Epoch = 102, Train Loss 0.03, pit 0.50, yaw 0.36, roll 0.54, avg 0.47
Epoch = 103, Train Loss 0.03, pit 0.50, yaw 0.36, roll 0.55, avg 0.47
Epoch = 104, Train Loss 0.03, pit 0.50, yaw 0.37, roll 0.53, avg 0.46
Epoch = 105, Train Loss 0.03, pit 0.52, yaw 0.36, roll 0.55, avg 0.48
Epoch = 106, Train Loss 0.03, pit 0.50, yaw 0.36, roll 0.60, avg 0.49
Epoch = 107, Train Loss 0.03, pit 0.53, yaw 0.36, roll 0.56, avg 0.48
Epoch = 108, Train Loss 0.03, pit 0.51, yaw 0.37, roll 0.53, avg 0.47
Epoch = 109, Train Loss 0.03, pit 0.50, yaw 0.35, roll 0.54, avg 0.46
Epoch = 110, Train Loss 0.03, pit 0.52, yaw 0.36, roll 0.56, avg 0.48
Epoch = 111, Train Loss 0.03, pit 0.48, yaw 0.35, roll 0.51, avg 0.45
Epoch = 112, Train Loss 0.03, pit 0.49, yaw 0.34, roll 0.54, avg 0.46
Epoch = 113, Train Loss 0.03, pit 0.49, yaw 0.36, roll 0.56, avg 0.47
Epoch = 114, Train Loss 0.03, pit 0.47, yaw 0.36, roll 0.55, avg 0.46
Epoch = 115, Train Loss 0.03, pit 0.50, yaw 0.35, roll 0.55, avg 0.47
Epoch = 116, Train Loss 0.03, pit 0.51, yaw 0.36, roll 0.56, avg 0.48
Epoch = 117, Train Loss 0.03, pit 0.48, yaw 0.35, roll 0.54, avg 0.45
Epoch = 118, Train Loss 0.03, pit 0.50, yaw 0.36, roll 0.57, avg 0.48
Epoch = 119, Train Loss 0.03, pit 0.50, yaw 0.35, roll 0.53, avg 0.46
