Epoch = 1, Test Loss 0.37, pit 6.94, yaw 6.33, roll 3.96, avg 5.74
Epoch = 2, Test Loss 0.31, pit 6.05, yaw 4.39, roll 4.86, avg 5.10
Epoch = 3, Test Loss 0.67, pit 17.26, yaw 5.67, roll 2.93, avg 8.62
Epoch = 4, Test Loss 0.25, pit 4.78, yaw 3.97, roll 3.23, avg 3.99
Epoch = 5, Test Loss 0.35, pit 6.80, yaw 5.98, roll 4.07, avg 5.62
Epoch = 6, Test Loss 0.21, pit 4.22, yaw 3.11, roll 1.91, avg 3.08
Epoch = 7, Test Loss 0.23, pit 2.94, yaw 3.14, roll 4.31, avg 3.46
Epoch = 8, Test Loss 0.32, pit 8.42, yaw 2.90, roll 2.34, avg 4.56
Epoch = 9, Test Loss 0.25, pit 5.28, yaw 3.21, roll 4.87, avg 4.45
Epoch = 10, Test Loss 0.17, pit 3.52, yaw 2.03, roll 2.07, avg 2.54
Epoch = 11, Test Loss 0.18, pit 2.19, yaw 3.76, roll 1.96, avg 2.64
Epoch = 12, Test Loss 0.17, pit 2.82, yaw 3.04, roll 2.03, avg 2.63
Epoch = 13, Test Loss 0.24, pit 4.82, yaw 2.39, roll 3.29, avg 3.50
Epoch = 14, Test Loss 0.21, pit 2.54, yaw 3.95, roll 3.48, avg 3.32
Epoch = 15, Test Loss 0.25, pit 5.61, yaw 2.46, roll 2.71, avg 3.60
Epoch = 16, Test Loss 0.20, pit 3.06, yaw 3.12, roll 4.00, avg 3.40
Epoch = 17, Test Loss 0.21, pit 2.80, yaw 2.62, roll 4.61, avg 3.34
Epoch = 18, Test Loss 0.14, pit 2.70, yaw 1.87, roll 2.23, avg 2.27
Epoch = 19, Test Loss 0.18, pit 3.52, yaw 1.90, roll 3.08, avg 2.83
Epoch = 20, Test Loss 0.17, pit 3.75, yaw 1.87, roll 2.76, avg 2.79
Epoch = 21, Test Loss 0.21, pit 3.15, yaw 3.38, roll 2.97, avg 3.16
