Epoch = 1, Train Loss 0.51, pit 6.69, yaw 8.66, roll 7.34, avg 7.56
Epoch = 2, Train Loss 0.21, pit 3.38, yaw 3.36, roll 3.07, avg 3.27
Epoch = 3, Train Loss 0.19, pit 3.10, yaw 3.12, roll 2.74, avg 2.99
Epoch = 4, Train Loss 0.17, pit 2.94, yaw 2.57, roll 2.42, avg 2.64
Epoch = 5, Train Loss 0.15, pit 2.56, yaw 2.35, roll 2.21, avg 2.37
Epoch = 6, Train Loss 0.15, pit 2.62, yaw 2.24, roll 2.09, avg 2.31
Epoch = 7, Train Loss 0.14, pit 2.35, yaw 2.18, roll 1.91, avg 2.15
Epoch = 8, Train Loss 0.13, pit 2.33, yaw 2.09, roll 1.90, avg 2.11
Epoch = 9, Train Loss 0.14, pit 2.31, yaw 2.23, roll 1.95, avg 2.17
Epoch = 10, Train Loss 0.13, pit 2.42, yaw 2.04, roll 1.81, avg 2.09
Epoch = 11, Train Loss 0.12, pit 2.16, yaw 1.87, roll 1.70, avg 1.91
Epoch = 12, Train Loss 0.12, pit 2.08, yaw 1.79, roll 1.71, avg 1.86
Epoch = 13, Train Loss 0.12, pit 2.10, yaw 1.82, roll 1.68, avg 1.87
Epoch = 14, Train Loss 0.12, pit 2.16, yaw 1.81, roll 1.75, avg 1.91
Epoch = 15, Train Loss 0.11, pit 2.04, yaw 1.58, roll 1.65, avg 1.76
Epoch = 16, Train Loss 0.10, pit 1.88, yaw 1.49, roll 1.53, avg 1.64
Epoch = 17, Train Loss 0.11, pit 1.96, yaw 1.58, roll 1.63, avg 1.72
Epoch = 18, Train Loss 0.11, pit 1.86, yaw 1.76, roll 1.50, avg 1.71
Epoch = 19, Train Loss 0.10, pit 1.95, yaw 1.51, roll 1.49, avg 1.65
Epoch = 20, Train Loss 0.10, pit 1.76, yaw 1.56, roll 1.38, avg 1.57
Epoch = 21, Train Loss 0.10, pit 1.96, yaw 1.45, roll 1.48, avg 1.63
Epoch = 22, Train Loss 0.10, pit 1.84, yaw 1.61, roll 1.47, avg 1.64
Epoch = 23, Train Loss 0.10, pit 1.74, yaw 1.44, roll 1.40, avg 1.53
Epoch = 24, Train Loss 0.10, pit 1.90, yaw 1.44, roll 1.52, avg 1.62
Epoch = 25, Train Loss 0.10, pit 1.83, yaw 1.32, roll 1.48, avg 1.54
Epoch = 26, Train Loss 0.09, pit 1.82, yaw 1.37, roll 1.34, avg 1.51
Epoch = 27, Train Loss 0.09, pit 1.74, yaw 1.29, roll 1.36, avg 1.46
Epoch = 28, Train Loss 0.09, pit 1.72, yaw 1.35, roll 1.36, avg 1.47
Epoch = 29, Train Loss 0.09, pit 1.75, yaw 1.23, roll 1.33, avg 1.43
Epoch = 30, Train Loss 0.09, pit 1.74, yaw 1.25, roll 1.42, avg 1.47
Epoch = 31, Train Loss 0.09, pit 1.63, yaw 1.23, roll 1.27, avg 1.37
Epoch = 32, Train Loss 0.09, pit 1.70, yaw 1.33, roll 1.31, avg 1.45
Epoch = 33, Train Loss 0.09, pit 1.59, yaw 1.41, roll 1.32, avg 1.44
Epoch = 34, Train Loss 0.08, pit 1.59, yaw 1.17, roll 1.29, avg 1.35
Epoch = 35, Train Loss 0.09, pit 1.66, yaw 1.23, roll 1.28, avg 1.39
Epoch = 36, Train Loss 0.08, pit 1.63, yaw 1.19, roll 1.26, avg 1.36
Epoch = 37, Train Loss 0.08, pit 1.51, yaw 1.02, roll 1.14, avg 1.22
Epoch = 38, Train Loss 0.08, pit 1.63, yaw 1.13, roll 1.21, avg 1.32
Epoch = 39, Train Loss 0.08, pit 1.62, yaw 1.12, roll 1.25, avg 1.33
Epoch = 40, Train Loss 0.08, pit 1.49, yaw 1.09, roll 1.15, avg 1.24
Epoch = 41, Train Loss 0.06, pit 1.10, yaw 0.82, roll 0.89, avg 0.94
Epoch = 42, Train Loss 0.05, pit 1.01, yaw 0.71, roll 0.86, avg 0.86
Epoch = 43, Train Loss 0.05, pit 1.01, yaw 0.74, roll 0.85, avg 0.87
Epoch = 44, Train Loss 0.06, pit 1.06, yaw 0.73, roll 0.83, avg 0.87
Epoch = 45, Train Loss 0.05, pit 1.08, yaw 0.70, roll 0.81, avg 0.86
Epoch = 46, Train Loss 0.05, pit 1.02, yaw 0.69, roll 0.80, avg 0.84
Epoch = 47, Train Loss 0.05, pit 1.02, yaw 0.71, roll 0.81, avg 0.85
Epoch = 48, Train Loss 0.05, pit 1.03, yaw 0.67, roll 0.79, avg 0.83
Epoch = 49, Train Loss 0.05, pit 0.94, yaw 0.68, roll 0.84, avg 0.82
Epoch = 50, Train Loss 0.05, pit 1.00, yaw 0.64, roll 0.81, avg 0.81
Epoch = 51, Train Loss 0.05, pit 0.94, yaw 0.66, roll 0.77, avg 0.79
Epoch = 52, Train Loss 0.05, pit 0.97, yaw 0.68, roll 0.81, avg 0.82
